제목,장르,에피소드,옴니버스,스토리,일상,개그,판타지,액션,드라마,순정,감성,스릴러,시대극,스포츠,좋아요,별점,정식연재
[캠핑툰] 햇살이 따스해!,옴니버스,0,1,0,0,0,0,0,0,0,1,0,0,0,103,9.75,0
[톡툰],감성,1,0,0,1,0,0,0,0,0,1,0,0,0,191,9.61,0
[하마탱] 일편단심 하여가,감성,1,0,0,1,0,0,0,0,0,1,0,0,0,14,9.5,0
^-^ (캐럿하이픈캐럿),스토리,0,0,1,0,0,0,0,1,1,0,0,0,0,"3,400",9.46,0
blooming(블루밍),옴니버스,0,1,0,0,0,0,0,0,1,1,0,0,0,"1,218",9.87,0
fiction or nonfiction,에피소드,1,0,0,1,0,0,0,0,0,0,0,0,0,"8,908",9.85,0
in,스릴러,0,0,1,0,0,0,1,0,0,0,1,0,0,256,9.22,0
k-9 (canine),스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,89,9.78,0
pponnie(뽀니),에피소드,1,0,0,1,1,0,0,0,0,0,0,0,0,"1,286",9.85,0
seal,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7.94,0
seedling,스토리,0,0,1,0,0,0,0,1,1,0,0,0,0,52,9.83,0
королева(퀸),일상,0,0,1,1,0,0,1,0,0,0,0,0,0,"1,229",9.82,0
「 사랑中.. 」,옴니버스,0,1,0,0,0,0,0,0,0,0,0,0,0,102,9.77,0
「김네몽's 그림일기」-시즌3.육아일기,에피소드,1,0,0,1,0,0,0,0,0,0,0,0,0,237,9.71,0
新조선왕조실록,판타지,0,0,1,0,0,1,0,1,0,0,0,0,0,"2,491",9.83,0
魂지킴이,판타지,0,0,1,0,0,1,0,0,0,0,0,0,0,"1,226",9.77,0
가가와 자반이,감성,1,0,0,1,0,0,0,0,0,1,0,0,0,450,9.64,0
가담가담,스토리,0,0,1,1,0,0,1,0,0,0,0,0,0,"13,546",9.88,0
"가라, 로봇!",판타지,0,0,1,0,1,1,0,0,0,0,0,0,0,285,9.62,0
가라사대,에피소드,1,0,0,1,1,0,0,0,0,0,0,0,0,200,9.64,0
가려진 대화,스토리,0,0,1,0,0,0,0,1,0,0,1,0,0,736,9.88,0
가면,판타지,0,0,1,0,0,1,1,0,0,0,0,0,0,"1,090",9.52,0
가상&RPG,스토리,0,0,1,0,1,1,0,0,0,0,0,0,0,"14,393",9.88,0
가위바위보,스토리,0,0,1,0,0,1,0,0,0,0,1,0,0,"1,476",9.59,0
가족같은회사,드라마,0,0,1,1,0,0,0,1,0,0,0,0,0,"1,827",9.86,0
가족사진,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,6,8.79,1
가짜 좀비왕 4컷,에피소드,1,0,0,0,1,0,1,0,0,0,0,0,0,"5,186",8.76,0
가출천사 육성계약,판타지,0,0,1,0,0,1,1,0,0,0,0,0,0,"3,669",9.89,0
가타리안,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,22,7.33,0
가타부타타,순정,0,0,1,1,0,0,0,0,1,0,0,0,0,"3,576",9.85,1
간떨어지는 동거,순정,0,0,1,0,1,0,0,0,1,0,0,0,0,"6,329",9.86,1
간밧떼 유학생 시즌2,에피소드,1,0,0,1,0,0,0,0,0,0,0,0,0,35,9.61,0
감각의 어빌러티,액션,0,0,1,0,0,1,1,0,0,0,0,0,0,"5,347",9.87,0
감염[感染] Infection,스릴러,0,0,1,0,0,0,1,0,0,0,1,0,0,55,8.85,0
갑자기판타지,판타지,0,0,1,0,1,1,0,0,0,0,0,0,0,268,9.8,0
갓!김치,액션,0,0,1,0,1,0,1,0,0,0,0,0,0,71,8.16,1
갓도령스,시대극,0,0,1,0,0,1,0,0,0,0,0,1,0,620,9.88,1
강가네,옴니버스,0,1,0,1,0,0,0,1,0,0,0,0,0,"10,185",9.9,0
강을 그리다,스토리,0,0,1,0,0,0,0,1,0,0,0,1,0,383,9.87,0
