,À¥Å÷ Á¦¸ñ,È¸Â÷ Á¦¸ñ,È¸Â÷,µî·ÏÀÏ,Á¶È¸¼ö,È¸Â÷º° º°Á¡,º°Á¡ Âü¿©ÀÎ¿ø¼ö,ÁÁ¾Æ¿ä¼ö,Á¤½Ä¿¬Àç,Á¶È¸¼ö ´ëºñ º°Á¡Âü¿©,Á¶È¸¼ö ´ëºñ ÁÁ¾Æ¿ä
89,º¹ÇÐ»ý Á¤¼øÀÌ,4È­,5,2019.04.18,215130,9.88,1336,895,1,0.006210198484637196,0.004160275182447822
90,³»ÀÏ,¡¡,1,2016.06.24,408064,9.87,1403,1319,1,0.0034381861668757842,0.003232336104140527
91,³»ÀÏ,¡¡,2,2016.07.01,298281,9.89,1184,1042,1,0.003969411393954023,0.003493350230152105
92,³»ÀÏ,¡¡,3,2016.07.08,260420,9.88,1021,803,1,0.0039205898164503495,0.0030834805314491976
93,³»ÀÏ,¡¡,4,2016.07.15,217767,9.9,973,795,1,0.004468078267138731,0.003650690876028048
94,³»ÀÏ,¡¡,5,2016.07.22,206652,9.9,943,775,1,0.0045632270677273875,0.003750266147920175
95,Çï·Îµµ»ç,Çï·Îµµ»ç - Æ÷ÅÙ¾÷ °øÁöÀÔ´Ï´Ù!,1,2018.07.16,271325,9.73,538,269,1,0.0019828618815074172,0.0009914309407537086
96,Çï·Îµµ»ç,1È­,2,2018.07.30,340282,9.91,1833,559,1,0.005386708671043429,0.0016427551266302654
97,Çï·Îµµ»ç,2È­,3,2018.08.07,203333,9.84,1047,404,1,0.005149188769161916,0.0019868885030959065
98,Çï·Îµµ»ç,3È­,4,2018.08.14,148495,9.77,928,321,1,0.006249368665611637,0.0021616889457557495
99,Çï·Îµµ»ç,4È­,5,2018.08.21,125017,9.85,842,282,1,0.006735084028572114,0.002255693225721302
100,·çÄ¿ÇÇÃÄ,1,1,2019.11.15,289315,9.85,2474,3749,1,0.008551233085045712,0.012958194355633133
101,·çÄ¿ÇÇÃÄ,2,2,2019.11.22,188896,9.88,1917,2839,1,0.01014844147043876,0.015029434186007115
102,·çÄ¿ÇÇÃÄ,3,3,2019.11.29,165033,9.91,1605,2521,1,0.009725327661740378,0.015275732732241431
103,·çÄ¿ÇÇÃÄ,4,4,2019.12.07,151048,9.9,1767,2537,1,0.011698268100206556,0.016795985382130185
104,·çÄ¿ÇÇÃÄ,5,5,2019.12.14,147373,9.92,1761,2542,1,0.011949271576204597,0.01724874977098926
105,ÇÏ·ç¸¸ ³×°¡ µÇ°í ½Í¾î,1. ¼Ò¹®ÀÇ µÎ ¿©ÀÚ,1,2019.08.29,230880,9.83,1376,1574,1,0.00595980595980596,0.0068173943173943175
106,ÇÏ·ç¸¸ ³×°¡ µÇ°í ½Í¾î,"2. ³× °Í, ³» °Í",2,2019.08.29,133136,9.86,1071,1134,1,0.00804440572046629,0.008517606056964307
107,ÇÏ·ç¸¸ ³×°¡ µÇ°í ½Í¾î,3. ÀÌ°Ô »ç¶ûÀÏ±î?,3,2019.08.29,122960,9.89,1385,1196,1,0.011263825634352635,0.009726740403383213
108,ÇÏ·ç¸¸ ³×°¡ µÇ°í ½Í¾î,¿¬Àç ÀÏÁ¤ °øÁö,4,2019.09.01,106110,9.88,1085,1133,1,0.010225237960606917,0.010677598718311187
109,ÇÏ·ç¸¸ ³×°¡ µÇ°í ½Í¾î,4. »ç³É²Û ´ë »ç³É°¨,5,2019.09.11,111275,9.84,1237,1161,1,0.011116603010559424,0.01043361042462368
110,¾Æ±â³º´Â¸¸È­,½ÃÀÛÇÕ´Ï´Ù :),1,2017.03.02,224282,9.82,970,226,1,0.0043249123870841176,0.0010076599994649593
111,¾Æ±â³º´Â¸¸È­,1È­ ¾Æ±â µîÀå!,2,2017.03.02,286041,9.88,1438,382,1,0.005027251338094889,0.0013354728867539967
112,¾Æ±â³º´Â¸¸È­,2È­ ÀÚ¿¬ÀÓ½ÅºÒ°¡,3,2017.03.02,250056,9.87,1189,287,1,0.0047549348945836135,0.001147742905589148
113,¾Æ±â³º´Â¸¸È­,3È­ ÀÎ°ø¼öÁ¤,4,2017.03.02,207932,9.86,1383,287,1,0.006651212896523864,0.0013802589308043013
114,¾Æ±â³º´Â¸¸È­,4È­ µÞÅë¼ö,5,2017.03.02,182966,9.87,1238,256,1,0.006766284446290568,0.0013991670583605696
115,Åõ¸íÇÑ µ¿°Å,1È­ °ÅºÎ¹ÝÀÀ,1,2016.01.13,156241,9.85,1011,714,1,0.006470772716508471,0.0045698632241217094
116,Åõ¸íÇÑ µ¿°Å,2È­ ´«Ä¡,2,2016.01.20,133764,9.85,1064,572,1,0.007954307586495618,0.004276187913040878
117,Åõ¸íÇÑ µ¿°Å,3È­ ÀÔÀå,3,2016.01.27,121725,9.86,939,531,1,0.007714109673444239,0.004362292051756008
118,Åõ¸íÇÑ µ¿°Å,4È­ ±â´ë,4,2016.02.03,130236,9.85,1378,1065,1,0.010580791793359747,0.008177462452778034
119,Åõ¸íÇÑ µ¿°Å,5È­ È¸º¹±â,5,2016.02.09,110058,9.85,986,617,1,0.008958912573370404,0.0056061349470279305
120,10¿ù 28ÀÏ,ÇÁ·Ñ·Î±×,1,2016.08.11,172507,9.73,354,98,1,0.0020520906398001242,0.0005680928889842151
121,10¿ù 28ÀÏ,1È­,2,2016.09.01,178824,9.85,419,117,1,0.0023430859392475282,0.0006542745940142263
122,10¿ù 28ÀÏ,2È­,3,2016.09.08,127064,9.84,387,103,1,0.003045709248882453,0.0008106151230875779
123,10¿ù 28ÀÏ,3È­,4,2016.09.22,113218,9.9,409,88,1,0.003612499779187055,0.0007772615661820559
124,10¿ù 28ÀÏ,4È­,5,2017.01.05,107908,9.88,367,73,1,0.0034010453349149275,0.0006765022055825333
125,ÇÕ¹ýÇØÀû ÆÄ¸£Æä,1È­    ¿¬Àç ÇùÀÇÁß^_^)9,1,2017.11.25,298826,9.89,3922,1331,1,0.013124694638351414,0.0044540970330560255
126,ÇÕ¹ýÇØÀû ÆÄ¸£Æä,2È­,2,2017.12.02,189422,9.9,3785,1090,1,0.019981839490661065,0.005754347435883899
127,ÇÕ¹ýÇØÀû ÆÄ¸£Æä,3È­,3,2017.12.09,152967,9.9,3041,981,1,0.019880104859218,0.006413147933868089
