Unnamed: 0,제목,장르,일상,개그,판타지,액션,드라마,순정,감성,스릴러,시대극,스포츠,좋아요,별점,정식연재
178,오사와 오폐수들,일상,1,1,0,0,0,0,0,0,0,0,"6,898",9.9,0
179,설레긴 개뿔,일상,1,0,0,0,0,1,0,0,0,0,"8,010",9.85,0
180,절교여행,일상,1,0,0,0,1,0,0,0,0,0,589,9.82,0
181,가타부타타,일상,1,0,0,0,0,1,0,0,0,0,"3,577",9.85,1
182,상그미상,일상,1,1,0,0,0,0,0,0,0,0,"5,470",9.89,0
183,마미므메모,일상,1,0,0,0,1,0,0,0,0,0,"11,726",9.86,0
184,해결사,일상,1,0,1,0,0,0,0,0,0,0,"4,622",9.88,0
185,청춘고딩,일상,1,0,0,0,0,1,0,0,0,0,"1,956",9.69,0
186,메리의 미쿡 정복기,일상,1,1,0,0,0,0,0,0,0,0,"4,026",9.81,0
187,누루누루 음식만화,일상,1,0,0,0,0,0,0,0,0,0,"6,588",9.88,0
188,결혼생활 그림일기,일상,1,1,0,0,0,0,0,0,0,0,"2,045",9.9,1
189,비만곰의 정석 다이어트,일상,1,0,0,0,0,0,0,0,0,0,"5,662",9.77,0
190,뷰티풀 싱글 라이프,일상,1,1,0,0,0,0,0,0,0,0,"5,679",9.89,0
191,동아리방 202호,일상,1,1,0,0,0,0,0,0,0,0,"2,689",9.88,0
192,A의 세계,일상,1,0,1,0,0,0,0,0,0,0,"14,506",9.4,0
193,호됴됴됴,일상,1,1,0,0,0,0,0,0,0,0,"7,066",9.89,0
194,남동생과 누나,일상,1,1,0,0,0,0,0,0,0,0,"12,744",9.84,0
195,개인사생활,일상,1,0,1,0,0,0,0,0,0,0,"1,723",9.63,0
196,모솔탈출 일대기,일상,1,0,0,0,1,0,0,0,0,0,"1,392",9.65,0
197,반지하셋방,일상,1,1,0,0,0,0,0,0,0,0,"3,879",9.89,0
198,누나 한입만화,일상,1,0,0,0,0,0,1,0,0,0,"3,163",9.9,0
199,여대생의 정석,일상,1,0,0,0,0,0,1,0,0,0,"2,793",9.87,0
200,Somewhere,일상,1,0,0,0,0,1,0,0,0,0,"3,877",9.86,0
201,오늘부터 다이어트,일상,1,1,0,0,0,0,0,0,0,0,"3,443",9.88,0
202,고교생을 환불해 주세요,일상,1,0,1,0,0,0,0,0,0,0,"2,891",9.88,1
203,공대생툰,일상,1,0,0,0,0,0,0,0,0,0,"2,514",9.78,0
204,어쩌다 간호사,일상,1,1,0,0,0,0,0,0,0,0,"4,274",9.75,0
205,교실공략기,일상,1,1,0,0,0,0,0,0,0,0,"6,657",9.85,0
206,빵뽀시래기,일상,1,0,0,0,0,0,0,0,0,0,"4,424",9.88,0
207,나도 예쁘고 싶다,일상,1,0,0,0,0,0,1,0,0,0,"3,214",9.79,0
208,너를 만나다,일상,1,0,0,0,0,1,0,0,0,0,"17,745",9.89,0
209,발버둥치다,일상,1,0,0,0,0,0,0,0,0,0,"5,952",9.89,0
210,왕립 루브리카 종합학원,일상,1,0,1,0,0,0,0,0,0,0,"3,878",9.9,0
211,바(Bar),일상,1,0,0,0,1,0,0,0,0,0,"2,916",9.87,0
212,백일고 상상클럽,일상,1,0,1,0,0,0,0,0,0,0,"4,975",9.87,0
213,쓰레기 머학생,일상,1,1,0,0,0,0,0,0,0,0,"7,285",9.87,0
214,혼자사는여자,일상,1,1,0,0,0,0,0,0,0,0,"8,026",9.86,0
215,좋운날,일상,1,1,0,0,0,0,0,0,0,0,"9,177",9.9,0
216,벚꽃과 불꽃,일상,1,0,1,0,0,0,0,0,0,0,"6,180",9.88,0
217,내 여동생은 귀여워,일상,1,0,1,0,0,0,0,0,0,0,834,7.13,0
218,식욕 로맨스,일상,1,0,0,0,0,1,0,0,0,0,"2,063",9.88,0
219,그래도 같이살자,일상,1,0,0,0,0,0,0,0,0,0,"2,840",9.88,0
220,여고남,일상,1,1,0,0,0,0,0,0,0,0,948,9.54,0
221,은규랑 누나랑,일상,1,0,0,0,0,1,0,0,0,0,993,9.83,0
222,하루한끼 감정일기,일상,1,1,0,0,0,0,0,0,0,0,"3,654",9.83,0
223,엑스프렌즈,일상,1,0,0,0,1,0,0,0,0,0,"2,508",9.84,0
224,옥탑빵,일상,1,0,0,0,1,0,0,0,0,0,"6,004",9.9,0
225,이상한 나라의 더 이상한 앨리스,일상,1,0,1,0,0,0,0,0,0,0,"6,682",9.76,0
226,"안녕,호두",일상,1,1,0,0,0,0,0,0,0,0,"3,232",9.89,0
227,별▶주부전,일상,1,0,0,0,0,1,0,0,0,0,"5,217",9.87,0
